"id","maxValue","uuid:ID","minValue","instanceType","isApproximate"
"Range_2","300.0","2c0474c4-8090-4b01-8063-237306612414","300.0","Range","False"
"Range_1","300.0","94385a2c-8965-41c5-bf9b-61a717b1d603","300.0","Range","False"
"Range_3","100.0","5f73efd0-c03f-4792-bae3-806acda6b1d4","50.0","Range","False"
