"id","isApproximate","maxValue","uuid:ID","instanceType","minValue"
"Range_2","False","300.0","a29c1078-26d7-48f0-aac8-168d9c097ea9","Range","300.0"
"Range_1","False","300.0","a6b4f36e-d0da-4312-b608-b867ffa625fb","Range","300.0"
"Range_3","False","100.0","c63dbdf3-bc08-48db-a4f2-7ffa877b59c0","Range","50.0"
