"otherReason","uuid:ID","instanceType","id"
"","b339779f-8376-46e8-a605-edb3741c4826","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","92622f9d-043a-4dc3-8544-923c4e98a5ab","StudyAmendmentReason","StudyAmendmentReason_2"
