"name","label","id","dateValue","uuid:ID","description","instanceType"
"D_APPROVE","Design Approval","GovernanceDate_1","2006-06-01","c92d7e1d-22f7-45d9-b500-d64b0fba896c","Design approval date","GovernanceDate"
"P_APPROVE","Protocol Approval","GovernanceDate_2","2006-07-01","31506e9a-29de-4cd2-b357-47628fb3ba52","Protocol document approval date","GovernanceDate"
