"id","name","instanceType","uuid:ID","label","description"
"StudyEpoch_1","Screening","StudyEpoch","1742ff49-a486-4150-b4fb-ce356f3328a1","Screening","Screening Epoch"
"StudyEpoch_2","Treatment 1","StudyEpoch","b4ea6cd6-2a52-407d-95e8-3e560f058561","Treatment One","Treatment Epoch"
"StudyEpoch_3","Treatment 2","StudyEpoch","98889484-c95d-4f18-ade8-5497133db5ad","Treatment Two","Treatment Epoch"
"StudyEpoch_4","Treatment 3","StudyEpoch","bbf46c41-fb4b-41f0-8846-3ed125a31069","Treatment Three","Treatment Epoch"
"StudyEpoch_5","Follow-Up","StudyEpoch","dab26b87-3493-45b9-8007-a875e67c8e7b","Follow Up","Follow-up Epoch"
