"id","isRequired","datatype","instanceType","uuid:ID","isEnabled","label","name"
"BiomedicalConceptProperty_116","True","text","BiomedicalConceptProperty","82e13645-f027-4dc1-a8e4-dcccffd80c69","True","DSDECOD","DSDECOD"
"BiomedicalConceptProperty_117","True","text","BiomedicalConceptProperty","15d58cb1-514c-4dd7-9640-821d9b24a630","True","DSTERM","DSTERM"
"BiomedicalConceptProperty_118","True","datetime","BiomedicalConceptProperty","81c9eca4-7eb2-4601-a8bc-7cfec82af7b2","True","DSSTDTC","DSSTDTC"
"BiomedicalConceptProperty_119","True","string","BiomedicalConceptProperty","d8d49428-e62f-4cb4-8d55-2c05c51719a2","True","Sex","Sex"
"BiomedicalConceptProperty_120","True","string","BiomedicalConceptProperty","1fcdfa0d-c0b9-40e9-b6fe-3f3f5d5430bb","True","Race","Race"
"BiomedicalConceptProperty_121","True","","BiomedicalConceptProperty","b1f91ded-7b32-4230-a68d-42fbd51bf8c2","True","VSTESTCD","VSTESTCD"
"BiomedicalConceptProperty_122","True","float","BiomedicalConceptProperty","c9fdccc2-4ba8-4009-8348-f873fa786af1","True","VSORRES","VSORRES"
"BiomedicalConceptProperty_123","True","","BiomedicalConceptProperty","e3617fa2-fd2d-4a17-9976-858626be4807","True","VSORRESU","VSORRESU"
"BiomedicalConceptProperty_124","True","","BiomedicalConceptProperty","63d69578-fff7-402e-9693-4e728bc98f56","True","VSLOC","VSLOC"
"BiomedicalConceptProperty_125","True","","BiomedicalConceptProperty","26d4cfa5-d851-4ba7-9f11-13f8c9aef785","True","VSTESTCD","VSTESTCD"
"BiomedicalConceptProperty_126","True","float","BiomedicalConceptProperty","9aee271f-5f98-4beb-9d4c-0deb339ed72f","True","VSORRES","VSORRES"
"BiomedicalConceptProperty_127","True","","BiomedicalConceptProperty","85894e4d-0b1f-4671-b4ba-ffcf83afd5b8","True","VSORRESU","VSORRESU"
"BiomedicalConceptProperty_128","True","","BiomedicalConceptProperty","8b04cfc8-2312-4ac8-8865-8b9753b4badf","True","VSTESTCD","VSTESTCD"
"BiomedicalConceptProperty_129","True","float","BiomedicalConceptProperty","ca554f29-169d-425b-8994-6ef5ecfd0a84","True","VSORRES","VSORRES"
"BiomedicalConceptProperty_130","True","","BiomedicalConceptProperty","d9379e8c-c061-4d7c-b832-c2816d78c9ed","True","VSORRESU","VSORRESU"
"BiomedicalConceptProperty_131","True","","BiomedicalConceptProperty","ad8f1102-b8e1-4a37-91fe-eaad28ce64fc","True","LBTESTCD","LBTESTCD"
