"uuid:ID","otherReason","id","instanceType"
"b58991dd-d7d1-4710-a6be-f04b02f23491","","StudyAmendmentReason_1","StudyAmendmentReason"
"5b83fa88-e890-422f-8dc9-2ddd1847fa82","Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason"
