"id","name","instanceType","uuid:ID","label","description"
"SyntaxTemplateDictionary_1","IE_Dict","SyntaxTemplateDictionary","5a5e7c78-5adb-4d41-88d7-614e60e5a6a5","IE Dictionary","Dictionary for IE"
"SyntaxTemplateDictionary_2","AS_Dict","SyntaxTemplateDictionary","67ba12ee-d267-475f-8283-c61f758124a1","Assessment Dictionary","Dictionary for Study Assessments"
