"minValue","isApproximate","maxValue","instanceType","uuid:ID","id"
"300.0","False","300.0","Range","e426a53d-1537-4f88-8cba-6d19ca251c7b","Range_2"
"300.0","False","300.0","Range","48312245-54fb-4498-a2b6-d9f86593f5d8","Range_1"
"50.0","False","100.0","Range","7c68ab1a-0081-4ad4-a0bc-f260b07e36df","Range_3"
