"instanceType","description","name","id","label","uuid:ID"
"SyntaxTemplateDictionary","Dictionary for IE","IE_Dict","SyntaxTemplateDictionary_1","IE Dictionary","a3eb5a0a-e95d-4a51-9c76-4db1778a7bbb"
"SyntaxTemplateDictionary","Dictionary for Study Assessments","AS_Dict","SyntaxTemplateDictionary_2","Assessment Dictionary","e3433558-af0a-434b-b2b9-707f42918b3c"
