"isRequired","instanceType","isEnabled","uuid:ID","name","id","label","datatype"
"True","BiomedicalConceptProperty","True","914538f4-ceb1-4f85-a256-d0e5fa62c337","Sex","BiomedicalConceptProperty_116","Sex","string"
"True","BiomedicalConceptProperty","True","ef975310-c256-4f73-a52a-5277a69c8a1c","Race","BiomedicalConceptProperty_117","Race","string"
"True","BiomedicalConceptProperty","True","0ee3e308-722d-4d2a-adad-3163075d32c3","VSTESTCD","BiomedicalConceptProperty_118","VSTESTCD",""
"True","BiomedicalConceptProperty","True","f28b9af4-3ef0-4a9d-801a-cd435c971103","VSORRES","BiomedicalConceptProperty_119","VSORRES","float"
"True","BiomedicalConceptProperty","True","a50d32c8-efc0-4c45-805f-d3f0cbe0db37","VSORRESU","BiomedicalConceptProperty_120","VSORRESU",""
"True","BiomedicalConceptProperty","True","a643990a-b34d-46a0-abb5-26baf86fa319","VSLOC","BiomedicalConceptProperty_121","VSLOC",""
"True","BiomedicalConceptProperty","True","fb0d2530-0b13-4505-9d3f-16684c8da616","VSTESTCD","BiomedicalConceptProperty_122","VSTESTCD",""
"True","BiomedicalConceptProperty","True","d74ee581-b58b-47c4-94ca-fdf344cc95f3","VSORRES","BiomedicalConceptProperty_123","VSORRES","float"
"True","BiomedicalConceptProperty","True","45f3182c-5c52-474a-899a-946fa9da8ae1","VSORRESU","BiomedicalConceptProperty_124","VSORRESU",""
"True","BiomedicalConceptProperty","True","62e346cf-87b4-4637-9257-acf941ce9a7c","VSTESTCD","BiomedicalConceptProperty_125","VSTESTCD",""
"True","BiomedicalConceptProperty","True","ac6c2060-6855-4521-a499-ec17f9bc815f","VSORRES","BiomedicalConceptProperty_126","VSORRES","float"
"True","BiomedicalConceptProperty","True","c9dbe8d8-dd3a-4bd8-8c56-1ebd607536cd","VSORRESU","BiomedicalConceptProperty_127","VSORRESU",""
"True","BiomedicalConceptProperty","True","c92c98a0-0de1-495e-9253-f33f2e1b6dbb","LBTESTCD","BiomedicalConceptProperty_128","LBTESTCD",""
"True","BiomedicalConceptProperty","True","c62620d2-9931-42d2-8c38-d9e304ea15fb","LBORRES","BiomedicalConceptProperty_129","LBORRES","float"
"True","BiomedicalConceptProperty","True","02d2ce1f-bde3-4a4f-aa5b-df843ec54c62","LBORRESU","BiomedicalConceptProperty_130","LBORRESU",""
"True","BiomedicalConceptProperty","True","ad15d909-24e8-4ed4-bd5d-e37727508e0a","LBSPEC","BiomedicalConceptProperty_131","LBSPEC",""
"True","BiomedicalConceptProperty","True","cdfb7123-52cb-4134-bed8-70f76b6c37c0","LBFAST","BiomedicalConceptProperty_132","LBFAST",""
"True","BiomedicalConceptProperty","True","2ad4286f-55dc-496c-948f-018340b99cf4","LBTESTCD","BiomedicalConceptProperty_133","LBTESTCD",""
"True","BiomedicalConceptProperty","True","91ff38d2-bf21-4dbb-ac09-bc77c7846d8d","LBORRES","BiomedicalConceptProperty_134","LBORRES","text"
"True","BiomedicalConceptProperty","True","cba304e8-4f57-43b9-b9af-50151754f20c","LBSPEC","BiomedicalConceptProperty_135","LBSPEC",""
"True","BiomedicalConceptProperty","True","da8d356f-dbd0-40fc-ad35-a5169ed1151f","LBFAST","BiomedicalConceptProperty_136","LBFAST",""
"True","BiomedicalConceptProperty","True","8508334a-c2e1-4291-afb4-3e3c75d879f7","LBTESTCD","BiomedicalConceptProperty_137","LBTESTCD",""
"True","BiomedicalConceptProperty","True","da68c3dd-d217-459a-959a-e1751ef03b5a","LBORRES","BiomedicalConceptProperty_138","LBORRES","float"
"True","BiomedicalConceptProperty","True","a5ac2619-4910-4a33-8924-b5dc6143fb50","LBORRESU","BiomedicalConceptProperty_139","LBORRESU",""
"True","BiomedicalConceptProperty","True","aea66595-4016-4088-9975-277125157fcb","LBSPEC","BiomedicalConceptProperty_140","LBSPEC",""
"True","BiomedicalConceptProperty","True","351bfcf8-adcb-4a0c-8f70-b06bf124d732","LBFAST","BiomedicalConceptProperty_141","LBFAST",""
"True","BiomedicalConceptProperty","True","ff341747-ee53-48b0-8741-6c7ed42f5804","LBTESTCD","BiomedicalConceptProperty_142","LBTESTCD",""
"True","BiomedicalConceptProperty","True","9a157d55-76ae-4e5a-9dbd-3a5e373e4f02","LBORRES","BiomedicalConceptProperty_143","LBORRES","float"
"True","BiomedicalConceptProperty","True","18646e43-4db5-478a-8aa0-179235be7e9b","LBORRESU","BiomedicalConceptProperty_144","LBORRESU",""
"True","BiomedicalConceptProperty","True","3e27071a-6e76-42f7-8a1c-795f9ed5459d","LBSPEC","BiomedicalConceptProperty_145","LBSPEC",""
"True","BiomedicalConceptProperty","True","63135f21-838b-42fc-96b5-99700ba365ab","LBFAST","BiomedicalConceptProperty_146","LBFAST",""
"True","BiomedicalConceptProperty","True","f6c8387f-0f56-4dff-b9db-2c68f0c89c8f","LBTESTCD","BiomedicalConceptProperty_147","LBTESTCD",""
"True","BiomedicalConceptProperty","True","ca95d6c6-e090-4f3f-a913-6d5f5318a37d","LBORRES","BiomedicalConceptProperty_148","LBORRES","float"
"True","BiomedicalConceptProperty","True","8133a8c9-856f-4038-ad1f-980450822aaf","LBORRESU","BiomedicalConceptProperty_149","LBORRESU",""
"True","BiomedicalConceptProperty","True","b728d10c-4539-4957-8339-52b9212bd110","LBSPEC","BiomedicalConceptProperty_150","LBSPEC",""
"True","BiomedicalConceptProperty","True","b7918a2a-1520-4d5c-b3ea-bd87a2407660","LBFAST","BiomedicalConceptProperty_151","LBFAST",""
"True","BiomedicalConceptProperty","True","ce913273-4fce-41e5-9626-dc1fd8b503de","LBTESTCD","BiomedicalConceptProperty_152","LBTESTCD",""
"True","BiomedicalConceptProperty","True","f964a685-01be-4c47-a16d-43d9c171f2c0","LBORRES","BiomedicalConceptProperty_153","LBORRES","float"
"True","BiomedicalConceptProperty","True","76fbf807-9986-4626-b0c7-7d2cec29c133","LBORRESU","BiomedicalConceptProperty_154","LBORRESU",""
"True","BiomedicalConceptProperty","True","91a81c49-7bd5-4fd6-9e48-639a7121b4fa","LBSPEC","BiomedicalConceptProperty_155","LBSPEC",""
"True","BiomedicalConceptProperty","True","aa2ab957-84d1-403e-9eb6-e37dacec4e7c","LBFAST","BiomedicalConceptProperty_156","LBFAST",""
"True","BiomedicalConceptProperty","True","ff14f9a7-5f72-479a-a5e9-23ae473f3b43","LBTESTCD","BiomedicalConceptProperty_157","LBTESTCD",""
"True","BiomedicalConceptProperty","True","8d3e6f45-daf6-4b3d-ada7-9693ad3a366b","LBORRES","BiomedicalConceptProperty_158","LBORRES","float"
"True","BiomedicalConceptProperty","True","9298e384-237b-4cf4-8901-5a97195e0d19","LBORRESU","BiomedicalConceptProperty_159","LBORRESU",""
