"minValue","instanceType","maxValue","id","isApproximate","uuid:ID"
"300.0","Range","300.0","Range_2","False","cf6e7ee6-27d7-48fa-bad9-a784361f3e77"
"300.0","Range","300.0","Range_1","False","35143fe5-9c51-4033-908b-becbd4fe428f"
"50.0","Range","100.0","Range_3","False","c607d78f-b0ee-4a0c-a672-01517d2529d5"
