"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","93c2005b-58f6-44e7-aa11-182f4f98815d","StudyAmendmentReason_1",""
"StudyAmendmentReason","660049fe-0939-4ee2-ad1a-7e770e4b80ae","StudyAmendmentReason_2","Fix typographical errors"
