"isRequired","datatype","id","name","uuid:ID","label","isEnabled","instanceType"
"True","string","BiomedicalConceptProperty_116","Sex","ece8f971-78ba-4fd7-9efa-05f361c001e4","Sex","True","BiomedicalConceptProperty"
"True","string","BiomedicalConceptProperty_117","Race","f0b8a3ac-221e-49af-af83-ca4a0b8543a9","Race","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_118","VSTESTCD","f4522d4f-c802-4461-aba6-cd1574672131","VSTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_119","VSORRES","e34366d3-035a-4ebb-b25a-915c3bdb38ad","VSORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_120","VSORRESU","f69a3bd5-8295-4823-8f4b-d9f1924901d1","VSORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_121","VSLOC","7d244d74-89ee-462e-9381-0cbaedddfbbd","VSLOC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_122","VSTESTCD","6629dcf2-37fa-452b-b795-6008f595625b","VSTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_123","VSORRES","e95bbaa0-6ae9-4f0b-8eeb-d8eace3634c9","VSORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_124","VSORRESU","5e8fc1f4-24be-49f1-bd65-054479a670f4","VSORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_125","VSTESTCD","37de2d78-4446-40c3-8db4-b46b48e8de4d","VSTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_126","VSORRES","9342e68f-f1a1-4b45-92b0-32e15cbea6eb","VSORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_127","VSORRESU","b0693ef2-c6d2-4072-a96d-1fc50044fd16","VSORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_128","LBTESTCD","0f61f7f4-9b6d-4b87-b013-39eb7fbf60ac","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_129","LBORRES","f385ce63-efb9-4c21-99b3-efaca654b7d7","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_130","LBORRESU","63de8f6c-a36c-42a0-a3f2-04eff249b73b","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_131","LBSPEC","2d4eb780-056f-4993-9be3-8c91d30faf92","LBSPEC","True","BiomedicalConceptProperty"
