"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","14c043b0-7b7e-4099-ad67-64569922accc","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","5cb3a0d7-d49d-4f2a-a446-a977f630c1c4","StudyAmendmentReason"
