"uuid:ID","minValue","id","maxValue","instanceType","isApproximate"
"0b576d58-2a92-4735-bb39-97da080bc4c9","300.0","Range_2","300.0","Range","False"
"fcb9cd34-ca55-491b-b0d1-a41e05bca420","300.0","Range_1","300.0","Range","False"
"f2b0355c-0745-48ac-9b31-f484a19334e5","50.0","Range_3","100.0","Range","False"
