"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","4a45f62f-a207-444b-919d-0cf10f4c6b0f","","StudyAmendmentReason"
"StudyAmendmentReason_2","dcd08602-e21d-4d1a-8481-f0e67ba2f474","Fix typographical errors","StudyAmendmentReason"
