"instanceType","uuid:ID","name","id","description","label"
"StudyEpoch","4a6d8975-6f30-43cb-97f1-808c0aee2e46","Screening","StudyEpoch_1","Screening Epoch","Screening"
"StudyEpoch","8b4b8aee-a18f-4187-ad95-afd121a75040","Treatment 1","StudyEpoch_2","Treatment Epoch","Treatment One"
"StudyEpoch","726fc571-856d-498c-8b22-841285ef3d6c","Treatment 2","StudyEpoch_3","Treatment Epoch","Treatment Two"
"StudyEpoch","a0575148-eddb-43f7-9983-b37539a72605","Treatment 3","StudyEpoch_4","Treatment Epoch","Treatment Three"
"StudyEpoch","a0f92399-7474-49f4-906e-041377738fb5","Follow-Up","StudyEpoch_5","Follow-up Epoch","Follow Up"
