"description","instanceType","uuid:ID","name","id","dateValue","label"
"Design approval date","GovernanceDate","e2f4a88a-0d7e-4343-bc1b-fd342d36027a","D_APPROVE","GovernanceDate_1","2006-06-01","Design Approval"
"Protocol document approval date","GovernanceDate","71488b61-2aba-47bf-9e9f-0a75eee0458a","P_APPROVE","GovernanceDate_2","2006-07-01","Protocol Approval"
