"instanceType","uuid:ID","name","dateValue","id","description","label"
"GovernanceDate","b6a3c7e9-532c-444f-9ca0-297953f0c5c7","D_APPROVE","2006-06-01","GovernanceDate_1","Design approval date","Design Approval"
"GovernanceDate","16b589d5-a760-4524-88ef-74a7aa97d59e","P_APPROVE","2006-07-01","GovernanceDate_2","Protocol document approval date","Protocol Approval"
