"instanceType","uuid:ID","maxValue","minValue","isApproximate","id"
"Range","1012c02b-293b-4965-bc85-fbfe5fe27a46","300.0","300.0","False","Range_2"
"Range","f8120387-2bfc-4572-958e-612fae5436eb","300.0","300.0","False","Range_1"
"Range","a93fb401-2514-4e28-912d-7233d7d5c843","100.0","50.0","False","Range_3"
