"instanceType","otherReason","uuid:ID","id"
"StudyAmendmentReason","","0348f8b8-eba6-4d48-953d-9efe32f7f30a","StudyAmendmentReason_1"
"StudyAmendmentReason","Fix typographical errors","3f4406d9-f7bd-431f-9a07-c8ceba0dd138","StudyAmendmentReason_2"
