"dateValue","description","id","uuid:ID","name","instanceType","label"
"2006-06-01","Design approval date","GovernanceDate_1","bf128e50-131a-4dcf-ac1c-9950da83feba","D_APPROVE","GovernanceDate","Design Approval"
"2006-07-01","Protocol document approval date","GovernanceDate_2","e4eb44e2-2d04-4d79-a8fe-1f5279cc4c60","P_APPROVE","GovernanceDate","Protocol Approval"
