"isEnabled","id","uuid:ID","name","datatype","instanceType","label","isRequired"
"True","BiomedicalConceptProperty_116","300669d5-2127-431c-8f6d-faf0a2d901db","Sex","string","BiomedicalConceptProperty","Sex","True"
"True","BiomedicalConceptProperty_117","42cf480f-1599-4233-9c27-ba4034a6fee9","Race","string","BiomedicalConceptProperty","Race","True"
"True","BiomedicalConceptProperty_118","ce4ba114-79b3-4aef-b8ad-9b5f9f2d2f4b","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","True"
"True","BiomedicalConceptProperty_119","b3361d74-798c-455b-a3cb-1e2a0dd4ee1b","VSORRES","float","BiomedicalConceptProperty","VSORRES","True"
"True","BiomedicalConceptProperty_120","0c1f8484-ac88-441e-8d86-fc999fc8e7fd","VSORRESU","","BiomedicalConceptProperty","VSORRESU","True"
"True","BiomedicalConceptProperty_121","9cadf8e4-f762-4375-9ad4-a44891878db2","VSLOC","","BiomedicalConceptProperty","VSLOC","True"
"True","BiomedicalConceptProperty_122","c60094cb-60ac-449f-a86d-4179775517f1","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","True"
"True","BiomedicalConceptProperty_123","9193ae60-42bf-49f2-9f2a-bf6423808b2c","VSORRES","float","BiomedicalConceptProperty","VSORRES","True"
"True","BiomedicalConceptProperty_124","227f7408-77e7-42a9-a33d-b85a6d7f7b37","VSORRESU","","BiomedicalConceptProperty","VSORRESU","True"
"True","BiomedicalConceptProperty_125","aa7bf5f1-81e1-4c83-8173-d09fe39e260c","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","True"
"True","BiomedicalConceptProperty_126","6801bb1c-f64a-4f1c-bfac-7948586111f3","VSORRES","float","BiomedicalConceptProperty","VSORRES","True"
"True","BiomedicalConceptProperty_127","59a8da5c-1ccd-4176-9d90-95c5124e320f","VSORRESU","","BiomedicalConceptProperty","VSORRESU","True"
"True","BiomedicalConceptProperty_128","fb74ddda-d2d5-490a-9948-925f9a40a1a5","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","True"
"True","BiomedicalConceptProperty_129","bcd919f6-037c-4d42-8052-02f591cf20bf","LBORRES","float","BiomedicalConceptProperty","LBORRES","True"
