"label","id","instanceType","name","uuid:ID","dateValue","description"
"Design Approval","GovernanceDate_1","GovernanceDate","D_APPROVE","cdad9a21-3fd3-433b-bed4-8772408c5388","2006-06-01","Design approval date"
"Protocol Approval","GovernanceDate_2","GovernanceDate","P_APPROVE","a875084d-3be3-449a-8905-4f03a64a7853","2006-07-01","Protocol document approval date"
