"label","id","instanceType","name","uuid:ID","description"
"IE Dictionary","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","IE_Dict","7638c3f9-453e-49f6-a760-768cfb98bf76","Dictionary for IE"
"Assessment Dictionary","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","AS_Dict","a6d44d15-bea2-4966-9b11-f32e616d51e4","Dictionary for Study Assessments"
