"uuid:ID","otherReason","id","instanceType"
"bd5f1a33-bcb2-4c03-8475-c3a451160610","","StudyAmendmentReason_1","StudyAmendmentReason"
"23dfa31b-0b3b-4e2e-9d84-669b01e152c2","Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason"
