"id","instanceType","minValue","isApproximate","uuid:ID","maxValue"
"Range_2","Range","300.0","False","529c6fbb-1a29-4c6b-82d5-06599752c657","300.0"
"Range_1","Range","300.0","False","b4ebf216-1bae-446e-b82c-b4a9d5d7329b","300.0"
"Range_3","Range","50.0","False","bf3134c7-2c1a-4752-92ad-d00175ca9467","100.0"
