"label","id","instanceType","name","uuid:ID","description"
"Screening","StudyEpoch_1","StudyEpoch","Screening","01ee7cc5-8d49-4239-8364-a64655383a01","Screening Epoch"
"Treatment One","StudyEpoch_2","StudyEpoch","Treatment 1","1c1a3813-d595-4f50-863b-06c594c36314","Treatment Epoch"
"Treatment Two","StudyEpoch_3","StudyEpoch","Treatment 2","cfc6cd23-a91d-4d40-b81b-cc49e75cb62f","Treatment Epoch"
"Treatment Three","StudyEpoch_4","StudyEpoch","Treatment 3","2c53e40d-3f0e-4716-a88f-d1f00afae0de","Treatment Epoch"
"Follow Up","StudyEpoch_5","StudyEpoch","Follow-Up","463b542a-1b9b-40b1-8bb5-27ee0d2bdeb7","Follow-up Epoch"
