"uuid:ID","dateValue","id","instanceType","description","name","label"
"10b89424-7de8-4415-a806-71d3847c5bee","2006-06-01","GovernanceDate_1","GovernanceDate","Design approval date","D_APPROVE","Design Approval"
"77e970de-d594-4d3c-9593-7522e2454387","2006-07-01","GovernanceDate_2","GovernanceDate","Protocol document approval date","P_APPROVE","Protocol Approval"
