"isApproximate","uuid:ID","minValue","id","instanceType","maxValue"
"False","463019eb-535f-47eb-9b9f-9420a49aec93","300.0","Range_2","Range","300.0"
"False","05fb99db-baf0-4501-a538-2d7381f38c4b","300.0","Range_1","Range","300.0"
"False","b5eda818-35a3-47e6-9b58-7e0824b0acc5","50.0","Range_3","Range","100.0"
