"uuid:ID","instanceType","id","otherReason"
"8601457b-5ef9-414d-a08a-865df70a21c6","StudyAmendmentReason","StudyAmendmentReason_1",""
"1f44cba6-d58b-4981-acf1-71a884926626","StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors"
