"uuid:ID","id","instanceType","description","name","label"
"887fcf2e-6eba-45c2-b24d-06f2f902c069","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","Dictionary for IE","IE_Dict","IE Dictionary"
"75af86b0-1128-4588-a54a-4c79cccf2d74","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","Dictionary for Study Assessments","AS_Dict","Assessment Dictionary"
