"label","name","id","isRequired","isEnabled","datatype","instanceType","uuid:ID"
"DSDECOD","DSDECOD","BiomedicalConceptProperty_116","True","True","text","BiomedicalConceptProperty","7fc9c073-583f-4294-97a6-13a3ab3b8031"
"DSTERM","DSTERM","BiomedicalConceptProperty_117","True","True","text","BiomedicalConceptProperty","ac23fb94-81f0-48e0-907f-633b68e42652"
"DSSTDTC","DSSTDTC","BiomedicalConceptProperty_118","True","True","datetime","BiomedicalConceptProperty","f5f901a2-df84-4585-bc28-6c8deab92478"
"Sex","Sex","BiomedicalConceptProperty_119","True","True","string","BiomedicalConceptProperty","e394b017-8686-4739-93fb-b303e578e547"
"Race","Race","BiomedicalConceptProperty_120","True","True","string","BiomedicalConceptProperty","7e3830e2-2cb5-4402-ba8c-5e27649ac34c"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_121","True","True","","BiomedicalConceptProperty","c5df2f69-b7b6-4ed8-8ee2-85f5569b8103"
"VSORRES","VSORRES","BiomedicalConceptProperty_122","True","True","float","BiomedicalConceptProperty","e4f549e9-4bb2-4152-b524-b0721834fc93"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_123","True","True","","BiomedicalConceptProperty","c90235c9-10d8-4faf-a7e6-5e1efbd08cf5"
"VSLOC","VSLOC","BiomedicalConceptProperty_124","True","True","","BiomedicalConceptProperty","7a773a96-59ac-424c-ad45-87a737706707"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_125","True","True","","BiomedicalConceptProperty","5879f91b-f037-485f-8b40-16ac908483a3"
"VSORRES","VSORRES","BiomedicalConceptProperty_126","True","True","float","BiomedicalConceptProperty","2330194a-c844-4977-b768-b809e70f1060"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_127","True","True","","BiomedicalConceptProperty","7f90fda1-9963-4406-b06f-f2b0d73184da"
"VSTESTCD","VSTESTCD","BiomedicalConceptProperty_128","True","True","","BiomedicalConceptProperty","8b706a9e-9f6d-4314-9af2-402e958ae967"
"VSORRES","VSORRES","BiomedicalConceptProperty_129","True","True","float","BiomedicalConceptProperty","3a9bab73-9059-42ec-971c-97d44755d516"
"VSORRESU","VSORRESU","BiomedicalConceptProperty_130","True","True","","BiomedicalConceptProperty","b685bad1-205c-4a01-9909-698eadedd118"
"LBTESTCD","LBTESTCD","BiomedicalConceptProperty_131","True","True","","BiomedicalConceptProperty","f8f821f2-56a8-42ae-9279-1f3cb73ae4fb"
