"label","name","id","instanceType","description","uuid:ID"
"IE Dictionary","IE_Dict","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","Dictionary for IE","167b5284-a632-4f2a-bd7a-93ecd765b240"
"Assessment Dictionary","AS_Dict","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","Dictionary for Study Assessments","78d97ceb-f77b-4cc8-973b-b42ced847fd1"
