"label","name","dateValue","id","instanceType","description","uuid:ID"
"Design Approval","D_APPROVE","2006-06-01","GovernanceDate_1","GovernanceDate","Design approval date","e5e32015-9946-4404-83c5-2186c720c0f2"
"Protocol Approval","P_APPROVE","2006-07-01","GovernanceDate_2","GovernanceDate","Protocol document approval date","0e226d7f-8cf0-44ab-854d-be60470c1d29"
