"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","e8335b64-3b02-4ca4-ae6a-a22df3580bee"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","dc49fc3f-8e79-49d1-bc40-75b9d79f8545"
