"uuid:ID","id","instanceType","otherReason"
"b2e90ea2-011c-4e10-82d4-a42ba3fc4de3","StudyAmendmentReason_1","StudyAmendmentReason",""
"f8b64ded-65ab-469a-a91e-7ae423fad9b4","StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors"
