"isRequired","id","label","isEnabled","datatype","name","instanceType","uuid:ID"
"True","BiomedicalConceptProperty_116","Sex","True","string","Sex","BiomedicalConceptProperty","7343b5f3-add0-4399-9b24-75711bfb9327"
"True","BiomedicalConceptProperty_117","Race","True","string","Race","BiomedicalConceptProperty","55cb0fe2-8935-43be-9297-fa3464eb7c2f"
"True","BiomedicalConceptProperty_118","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty","77898ef2-5c29-4e52-86c7-8c87f619a098"
"True","BiomedicalConceptProperty_119","VSORRES","True","float","VSORRES","BiomedicalConceptProperty","975d0755-ffbc-419e-ab4b-c42d37238751"
"True","BiomedicalConceptProperty_120","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty","ac645e1c-70c0-4079-8dc7-91a3014a317e"
"True","BiomedicalConceptProperty_121","VSLOC","True","","VSLOC","BiomedicalConceptProperty","cd085d3e-2bdb-4e2f-a79c-7544d0d7cc0c"
"True","BiomedicalConceptProperty_122","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty","6da1c2df-791e-4f6e-8110-1b73d44fb0f6"
"True","BiomedicalConceptProperty_123","VSORRES","True","float","VSORRES","BiomedicalConceptProperty","33dfa055-8c6f-4710-a54f-6502966519b6"
"True","BiomedicalConceptProperty_124","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty","4ebe376a-8018-46a7-8765-eb53dbe7c179"
"True","BiomedicalConceptProperty_125","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty","2cd0e959-3ecc-47ce-aa25-0d62c0a984f2"
"True","BiomedicalConceptProperty_126","VSORRES","True","float","VSORRES","BiomedicalConceptProperty","e0a02531-d6d1-4507-8584-dcc351c3ef22"
"True","BiomedicalConceptProperty_127","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty","337cb2fd-fad6-49ef-b891-376379fd28c9"
"True","BiomedicalConceptProperty_128","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty","64a61a3c-1baf-4323-8cd2-92fbe7dc06c9"
"True","BiomedicalConceptProperty_129","LBORRES","True","float","LBORRES","BiomedicalConceptProperty","4b0b8dbb-cbd3-465e-a538-4ebe1d5b7088"
"True","BiomedicalConceptProperty_130","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty","d4bcb58f-98a1-49e9-8055-88703b5092c3"
"True","BiomedicalConceptProperty_131","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty","6c83a092-cf92-43be-afc8-dbe808c73a8a"
"True","BiomedicalConceptProperty_132","LBFAST","True","","LBFAST","BiomedicalConceptProperty","5512865f-755b-4d50-a419-16860654d7b2"
"True","BiomedicalConceptProperty_133","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty","3cbe1804-95bc-4142-92f7-a8adcda43c8a"
"True","BiomedicalConceptProperty_134","LBORRES","True","text","LBORRES","BiomedicalConceptProperty","a87f96a8-8764-415e-9bca-c75fd3d08598"
"True","BiomedicalConceptProperty_135","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty","80d056f3-382a-4b44-840f-1b7ca21a5075"
"True","BiomedicalConceptProperty_136","LBFAST","True","","LBFAST","BiomedicalConceptProperty","2336a9ed-6fb6-4e7b-8da0-307162733672"
"True","BiomedicalConceptProperty_137","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty","ab95e044-aa61-49aa-8c83-12a446f20133"
"True","BiomedicalConceptProperty_138","LBORRES","True","float","LBORRES","BiomedicalConceptProperty","9ad27206-5357-4759-b189-168c11bedbfa"
"True","BiomedicalConceptProperty_139","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty","6cd329ba-8ded-46ff-897b-e1ffc12b8d16"
"True","BiomedicalConceptProperty_140","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty","bc159d7f-db59-4c86-a802-3b9479b08383"
"True","BiomedicalConceptProperty_141","LBFAST","True","","LBFAST","BiomedicalConceptProperty","1e7b27b1-c804-48db-b81e-25afc17fcfab"
"True","BiomedicalConceptProperty_142","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty","bb1259e0-041c-4805-a782-15019a875ab8"
"True","BiomedicalConceptProperty_143","LBORRES","True","float","LBORRES","BiomedicalConceptProperty","cf36b5a1-a96a-43a5-8cec-f042d40497a0"
"True","BiomedicalConceptProperty_144","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty","e90531d3-bf6b-4810-93ce-7cb24663eede"
"True","BiomedicalConceptProperty_145","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty","b9d62dfa-cb9e-4a6d-8009-3952180a31bc"
"True","BiomedicalConceptProperty_146","LBFAST","True","","LBFAST","BiomedicalConceptProperty","d0bb3a22-a5fa-46bd-8462-6453a1d65aa8"
"True","BiomedicalConceptProperty_147","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty","bc24dc6d-6bfe-44da-bfd3-04d13da6bc73"
"True","BiomedicalConceptProperty_148","LBORRES","True","float","LBORRES","BiomedicalConceptProperty","e710f862-e33a-4d26-923c-af6993594ed5"
"True","BiomedicalConceptProperty_149","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty","34f9dfdc-224b-43d7-b0df-9b2bb60fddc4"
"True","BiomedicalConceptProperty_150","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty","56c5b9c0-2abd-4daa-b279-1dccde68efa6"
"True","BiomedicalConceptProperty_151","LBFAST","True","","LBFAST","BiomedicalConceptProperty","3f0c5648-33a1-4ede-9994-0223eaf25105"
"True","BiomedicalConceptProperty_152","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty","e323bccc-917b-445c-9bde-d90606a79287"
"True","BiomedicalConceptProperty_153","LBORRES","True","float","LBORRES","BiomedicalConceptProperty","5e954b45-93b9-4d8e-8733-2b232881c58a"
"True","BiomedicalConceptProperty_154","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty","d0bee571-4da8-4c5c-9080-003b9278956a"
"True","BiomedicalConceptProperty_155","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty","942fe28d-c339-4faf-99d9-2e70cc990593"
"True","BiomedicalConceptProperty_156","LBFAST","True","","LBFAST","BiomedicalConceptProperty","84e6423c-84af-4427-9ec5-ed1aabe18d26"
"True","BiomedicalConceptProperty_157","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty","427c2bef-c6ea-481c-9f6b-00c3f02c3340"
"True","BiomedicalConceptProperty_158","LBORRES","True","float","LBORRES","BiomedicalConceptProperty","e6113817-bdb0-4116-9d06-66f1fa0376bb"
"True","BiomedicalConceptProperty_159","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty","d1b5237e-17ed-4384-9f91-46232649d83d"
"True","BiomedicalConceptProperty_160","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty","fc2d365a-aa8a-4372-9043-c8f3dd15c0bf"
"True","BiomedicalConceptProperty_161","LBFAST","True","","LBFAST","BiomedicalConceptProperty","ae618d81-e6a5-4a29-a38b-f7454fa449e7"
"True","BiomedicalConceptProperty_162","LBTESTCD","True","","LBTESTCD","BiomedicalConceptProperty","9d8afeba-b431-4a92-9e7a-03126961f9f1"
"True","BiomedicalConceptProperty_163","LBORRES","True","float","LBORRES","BiomedicalConceptProperty","9a8375ea-cb44-4d25-b7e9-e36baf44642b"
"True","BiomedicalConceptProperty_164","LBORRESU","True","","LBORRESU","BiomedicalConceptProperty","499ffab0-e172-4e4e-a8db-191b3776f963"
"True","BiomedicalConceptProperty_165","LBSPEC","True","","LBSPEC","BiomedicalConceptProperty","1cd51f70-e86b-4c98-9acb-42a5007e3fa2"
"True","BiomedicalConceptProperty_166","LBFAST","True","","LBFAST","BiomedicalConceptProperty","be6d82b1-1404-4a3b-89a6-b92fbd9add04"
"True","BiomedicalConceptProperty_1","AETERM","True","text","AETERM","BiomedicalConceptProperty","d09bf3d6-f533-49c0-b9d2-2986355b2bbd"
"True","BiomedicalConceptProperty_2","AEDECOD","True","text","AEDECOD","BiomedicalConceptProperty","bb814866-dd00-4c30-851d-67ec132efe6c"
"True","BiomedicalConceptProperty_3","AEPRESP","True","text","AEPRESP","BiomedicalConceptProperty","5ff6edd6-9306-476b-b3ef-55fc97b86dbd"
"True","BiomedicalConceptProperty_4","AELOC","True","text","AELOC","BiomedicalConceptProperty","8b3a81be-8d14-4ae5-a2b8-4abda2ac1a9e"
"True","BiomedicalConceptProperty_5","AESEV","True","text","AESEV","BiomedicalConceptProperty","efbd4a8e-9f3c-4028-a60d-9d8f8f8026b6"
"True","BiomedicalConceptProperty_6","AESER","True","text","AESER","BiomedicalConceptProperty","4b7b3d28-56e9-4386-9b80-4b41116bc5e6"
"True","BiomedicalConceptProperty_7","AEACN","True","text","AEACN","BiomedicalConceptProperty","d69fdf63-0879-4d49-b25e-540299312e32"
"True","BiomedicalConceptProperty_8","AEACNOTH","True","text","AEACNOTH","BiomedicalConceptProperty","746c275f-555b-4fbc-b35d-d38255bb9152"
"True","BiomedicalConceptProperty_9","AEREL","True","text","AEREL","BiomedicalConceptProperty","a7c392f4-ac3c-441b-9a7c-32fc81249619"
"True","BiomedicalConceptProperty_10","AERELNST","True","text","AERELNST","BiomedicalConceptProperty","df7fcd69-1c03-4395-b039-5fd88c4949a3"
"True","BiomedicalConceptProperty_11","AEPATT","True","text","AEPATT","BiomedicalConceptProperty","eb37145f-b18f-4002-a9ac-d469d61d40f4"
"True","BiomedicalConceptProperty_12","AEOUT","True","text","AEOUT","BiomedicalConceptProperty","dd61029b-c14d-4ee4-918b-a96eb9d906cc"
"True","BiomedicalConceptProperty_13","AESCAN","True","text","AESCAN","BiomedicalConceptProperty","ad17a045-5d5e-4b6f-be65-24ee60dbd326"
"True","BiomedicalConceptProperty_14","AESCONG","True","text","AESCONG","BiomedicalConceptProperty","30337573-363c-4753-811b-1876c323386c"
"True","BiomedicalConceptProperty_15","AESDISAB","True","text","AESDISAB","BiomedicalConceptProperty","a1f8bbc6-6f09-4ddb-9b79-337a94807fbd"
"True","BiomedicalConceptProperty_16","AESDTH","True","text","AESDTH","BiomedicalConceptProperty","950cda62-071d-4620-ac21-4d0700d5ca1b"
