"description","id","uuid:ID","name","instanceType","label"
"Dictionary for IE","SyntaxTemplateDictionary_1","16d4385a-fbdb-48a1-a188-0d8c4f92fe07","IE_Dict","SyntaxTemplateDictionary","IE Dictionary"
"Dictionary for Study Assessments","SyntaxTemplateDictionary_2","be613a21-c81f-479a-a626-52241e6a37f5","AS_Dict","SyntaxTemplateDictionary","Assessment Dictionary"
