"isEnabled","id","uuid:ID","name","datatype","instanceType","label","isRequired"
"True","BiomedicalConceptProperty_116","10ded0b0-9e58-4e13-a606-25077f34a562","DSDECOD","text","BiomedicalConceptProperty","DSDECOD","True"
"True","BiomedicalConceptProperty_117","7952a1d1-df93-447a-8ea7-7b332797fd78","DSTERM","text","BiomedicalConceptProperty","DSTERM","True"
"True","BiomedicalConceptProperty_118","fc734a7e-19ff-4203-94e3-602ef5717c3d","DSSTDTC","datetime","BiomedicalConceptProperty","DSSTDTC","True"
"True","BiomedicalConceptProperty_119","35d512be-d639-483d-8aeb-d82acb88fd3b","Sex","string","BiomedicalConceptProperty","Sex","True"
"True","BiomedicalConceptProperty_120","a47be311-c3b9-46f0-ace9-3498ef0616dd","Race","string","BiomedicalConceptProperty","Race","True"
"True","BiomedicalConceptProperty_121","dacf1599-191f-499a-8f67-85409423ca31","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","True"
"True","BiomedicalConceptProperty_122","cb5f27e3-2a30-4c41-948c-ca4631952dc1","VSORRES","float","BiomedicalConceptProperty","VSORRES","True"
"True","BiomedicalConceptProperty_123","57dcb979-cece-4652-b58c-125be93b6392","VSORRESU","","BiomedicalConceptProperty","VSORRESU","True"
"True","BiomedicalConceptProperty_124","eb5e6809-604c-412b-80d4-00694b0e202d","VSLOC","","BiomedicalConceptProperty","VSLOC","True"
"True","BiomedicalConceptProperty_125","fb6b4ba5-2f2e-4ed7-bea6-abfa020977a8","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","True"
"True","BiomedicalConceptProperty_126","77dfc13d-c188-49fc-85a6-5fe780fc6c4a","VSORRES","float","BiomedicalConceptProperty","VSORRES","True"
"True","BiomedicalConceptProperty_127","82a3e91a-1829-4ebb-9066-67beecde1d42","VSORRESU","","BiomedicalConceptProperty","VSORRESU","True"
"True","BiomedicalConceptProperty_128","e4a033a8-5909-4c80-abf2-d70604d92991","VSTESTCD","","BiomedicalConceptProperty","VSTESTCD","True"
"True","BiomedicalConceptProperty_129","80a68c94-bdd3-4b7e-8cb8-c9bc3c5ea3c8","VSORRES","float","BiomedicalConceptProperty","VSORRES","True"
"True","BiomedicalConceptProperty_130","6173fa69-918c-45df-b57a-8aa3da4bc30d","VSORRESU","","BiomedicalConceptProperty","VSORRESU","True"
"True","BiomedicalConceptProperty_131","525eb780-1773-446f-b732-e3c305c4fc52","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","True"
"True","BiomedicalConceptProperty_132","027a3c4d-f16f-4b3b-9024-07cf98e64b01","LBORRES","float","BiomedicalConceptProperty","LBORRES","True"
"True","BiomedicalConceptProperty_133","e66a4771-0b98-4c58-90c8-2e9561ee59e7","LBORRESU","","BiomedicalConceptProperty","LBORRESU","True"
"True","BiomedicalConceptProperty_134","50a8253d-cb3c-4227-88f4-da9af98256c0","LBSPEC","","BiomedicalConceptProperty","LBSPEC","True"
"True","BiomedicalConceptProperty_135","c16ce21d-88cb-4701-9cca-b1fdbe05ce3b","LBFAST","","BiomedicalConceptProperty","LBFAST","True"
"True","BiomedicalConceptProperty_136","c2745af2-3003-45ea-9c00-b76f8629b388","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","True"
"True","BiomedicalConceptProperty_137","86ce2d73-908e-42e0-9806-058eb4adc329","LBORRES","text","BiomedicalConceptProperty","LBORRES","True"
"True","BiomedicalConceptProperty_138","3bb11270-d746-4826-8ccf-7d9596866b1f","LBSPEC","","BiomedicalConceptProperty","LBSPEC","True"
"True","BiomedicalConceptProperty_139","0141d105-b5a0-4e91-bf61-1d9f3772b8c5","LBFAST","","BiomedicalConceptProperty","LBFAST","True"
"True","BiomedicalConceptProperty_140","ee32fde8-38b7-4943-ba01-32fdab5465d3","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","True"
"True","BiomedicalConceptProperty_141","374b41b9-3428-4fa2-84b8-e1503c884d5f","LBORRES","float","BiomedicalConceptProperty","LBORRES","True"
"True","BiomedicalConceptProperty_142","3770ce82-74c3-4fff-99c3-64a22139b39b","LBORRESU","","BiomedicalConceptProperty","LBORRESU","True"
"True","BiomedicalConceptProperty_143","90d0a301-aaa8-4d53-add2-0177e8e14fc0","LBSPEC","","BiomedicalConceptProperty","LBSPEC","True"
"True","BiomedicalConceptProperty_144","1fab2768-2b86-4430-9b90-385a3a730d6b","LBFAST","","BiomedicalConceptProperty","LBFAST","True"
