"maxValue","isApproximate","id","minValue","uuid:ID","instanceType"
"300.0","False","Range_2","300.0","091708c3-fd38-4822-ade7-02821ba6cc03","Range"
"300.0","False","Range_1","300.0","9beb0a68-78b4-420f-8290-e35314cee46a","Range"
"100.0","False","Range_3","50.0","002ceecb-3f18-4080-af37-a5460c60fbd7","Range"
