"instanceType","otherReason","uuid:ID","id"
"StudyAmendmentReason","","a6831ed3-7e97-4eaf-a591-d14176bdcaa6","StudyAmendmentReason_1"
"StudyAmendmentReason","Fix typographical errors","79c48497-833e-491a-8402-e2219443636b","StudyAmendmentReason_2"
