"uuid:ID","description","label","id","instanceType","name"
"001cea18-ce16-48b3-ab18-858a7166e0b1","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","IE_Dict"
"fb8fdbb5-930e-40c9-ad24-f6d0782e8cfe","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","AS_Dict"
