"uuid:ID","description","label","dateValue","id","instanceType","name"
"d12888d4-7da3-4ac9-b51c-367c6496c8af","Design approval date","Design Approval","2006-06-01","GovernanceDate_1","GovernanceDate","D_APPROVE"
"b69bf0a1-38fa-4e75-97e9-398534a16bd8","Protocol document approval date","Protocol Approval","2006-07-01","GovernanceDate_2","GovernanceDate","P_APPROVE"
