"uuid:ID","isApproximate","maxValue","id","minValue","instanceType"
"fc3bd53a-347c-44be-b67c-c4be0f9a9b31","False","300.0","Range_2","300.0","Range"
"aa5ea8f3-d8fb-4ffa-bebf-eb25d800c386","False","300.0","Range_1","300.0","Range"
"6f9351b2-141a-46e3-839c-8b414e9f7a78","False","100.0","Range_3","50.0","Range"
