"uuid:ID","instanceType","otherReason","id"
"0c96ccb4-be1b-40cf-a73e-3d12f38363c9","StudyAmendmentReason","","StudyAmendmentReason_1"
"1fb6c2c8-9eb8-41a4-ae95-4201b10f27f7","StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2"
