"uuid:ID","isEnabled","datatype","label","isRequired","id","instanceType","name"
"9f315929-175e-4f3e-bb13-74afff1b2aa2","True","text","DSDECOD","True","BiomedicalConceptProperty_116","BiomedicalConceptProperty","DSDECOD"
"bf9c8723-309f-4783-87a1-24dcebba4447","True","text","DSTERM","True","BiomedicalConceptProperty_117","BiomedicalConceptProperty","DSTERM"
"2bd857e2-7853-438f-a900-211de1fe3ce3","True","datetime","DSSTDTC","True","BiomedicalConceptProperty_118","BiomedicalConceptProperty","DSSTDTC"
"1c247952-53f1-425c-a6f3-19bb89cfa094","True","string","Sex","True","BiomedicalConceptProperty_119","BiomedicalConceptProperty","Sex"
"71491011-b5eb-4726-baea-d5c337b508a2","True","string","Race","True","BiomedicalConceptProperty_120","BiomedicalConceptProperty","Race"
"2351033b-4896-4dbf-82cd-4e723100b469","True","","VSTESTCD","True","BiomedicalConceptProperty_121","BiomedicalConceptProperty","VSTESTCD"
"30379d3e-d50e-4ee6-8ceb-a5b389e14942","True","float","VSORRES","True","BiomedicalConceptProperty_122","BiomedicalConceptProperty","VSORRES"
"3dd4e65a-0750-4a35-b33a-9d72aca81297","True","","VSORRESU","True","BiomedicalConceptProperty_123","BiomedicalConceptProperty","VSORRESU"
"65e476f0-d747-4e85-8afb-fd9b743a1bc1","True","","VSLOC","True","BiomedicalConceptProperty_124","BiomedicalConceptProperty","VSLOC"
"9fd4d573-1e20-4a83-bafb-4a2ec41791bb","True","","VSTESTCD","True","BiomedicalConceptProperty_125","BiomedicalConceptProperty","VSTESTCD"
"37eb8368-508a-43ea-b2eb-1ac08f52695f","True","float","VSORRES","True","BiomedicalConceptProperty_126","BiomedicalConceptProperty","VSORRES"
"09111394-2f58-4489-afc6-96d2e9e3a8b4","True","","VSORRESU","True","BiomedicalConceptProperty_127","BiomedicalConceptProperty","VSORRESU"
"9bc11a76-4047-4640-b8d8-b6ffe222d2e0","True","","VSTESTCD","True","BiomedicalConceptProperty_128","BiomedicalConceptProperty","VSTESTCD"
"f57ff89c-4260-4e45-8bf6-9b4dc0f7b20b","True","float","VSORRES","True","BiomedicalConceptProperty_129","BiomedicalConceptProperty","VSORRES"
"a063798a-24ee-4fef-8aff-af64bb7db432","True","","VSORRESU","True","BiomedicalConceptProperty_130","BiomedicalConceptProperty","VSORRESU"
