"instanceType","maxValue","minValue","id","uuid:ID","isApproximate"
"Range","300.0","300.0","Range_2","84ae9007-fe23-42e5-b0b4-7d4ae30b0460","False"
"Range","300.0","300.0","Range_1","76858259-8fe4-48b0-a08d-94542a749064","False"
"Range","100.0","50.0","Range_3","3e5ec508-7472-4718-9d74-335845b49a6b","False"
