"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","b046aa08-269f-48ef-b756-935fd8c1d21f","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","562c901e-d967-4fd2-b961-f7553dce6e63","StudyAmendmentReason_2"
