"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","6d95fd73-15cd-4ddd-9d69-ce69a803eaab","StudyAmendmentReason_1",""
"StudyAmendmentReason","3a4ad95b-6bce-4db2-b0cb-030bd5b6bb0b","StudyAmendmentReason_2","Fix typographical errors"
