"label","name","isEnabled","uuid:ID","isRequired","id","datatype","instanceType"
"DSDECOD","DSDECOD","True","5655599e-58ac-467e-875b-8268cd60da3d","True","BiomedicalConceptProperty_116","text","BiomedicalConceptProperty"
"DSTERM","DSTERM","True","2faefd0b-87de-4305-828d-f6e28b1b746b","True","BiomedicalConceptProperty_117","text","BiomedicalConceptProperty"
"DSSTDTC","DSSTDTC","True","6b77a008-673c-4aa1-ab3a-dd285bf2e171","True","BiomedicalConceptProperty_118","datetime","BiomedicalConceptProperty"
"Sex","Sex","True","3e704331-9b54-421b-992c-5fe0892cf08e","True","BiomedicalConceptProperty_119","string","BiomedicalConceptProperty"
"Race","Race","True","71721d61-863b-4aca-9609-4cee13f76e6e","True","BiomedicalConceptProperty_120","string","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","76711c60-a1ee-4ea3-9b38-5d97b02d93ff","True","BiomedicalConceptProperty_121","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","e71ee7ed-6f44-4601-b85b-204b7c6b3479","True","BiomedicalConceptProperty_122","float","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","dce2082a-f0ef-4a4d-9615-60f2cd9b504a","True","BiomedicalConceptProperty_123","","BiomedicalConceptProperty"
"VSLOC","VSLOC","True","72f8fc2a-b868-4dc1-98aa-5aa770fe80a2","True","BiomedicalConceptProperty_124","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","c2da596f-db5c-4a9f-a3a3-ec7858b388a4","True","BiomedicalConceptProperty_125","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","94b39b67-eb95-4dad-90b6-6688fec4c2a8","True","BiomedicalConceptProperty_126","float","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","13c24f5f-e549-42af-87a4-a8564e6a947c","True","BiomedicalConceptProperty_127","","BiomedicalConceptProperty"
"VSTESTCD","VSTESTCD","True","b35e08ac-1d07-4a0b-8805-d8a4b7c31727","True","BiomedicalConceptProperty_128","","BiomedicalConceptProperty"
"VSORRES","VSORRES","True","6b3b67d7-1d5e-45e9-8e39-41c07ccd9a6d","True","BiomedicalConceptProperty_129","float","BiomedicalConceptProperty"
"VSORRESU","VSORRESU","True","7ae4d67a-42b7-4a84-a054-23be995e25ed","True","BiomedicalConceptProperty_130","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","8936fdc1-6957-4537-97c0-8154c23fa3e4","True","BiomedicalConceptProperty_131","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","2b2e74f8-6b20-4198-b09b-e31741db19b1","True","BiomedicalConceptProperty_132","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","caf4b4ff-4f7b-41a7-aec8-ea9bbe8c9fe4","True","BiomedicalConceptProperty_133","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","1c921225-0aa0-4492-8d16-624f86918630","True","BiomedicalConceptProperty_134","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","225a0a98-c3f7-410e-8f9c-70dfaac00252","True","BiomedicalConceptProperty_135","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","9286d4e1-194f-4634-9b13-9506cd4ed4c7","True","BiomedicalConceptProperty_136","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","73e4f565-5447-404a-ba1e-68f544493762","True","BiomedicalConceptProperty_137","text","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","57c6e3ed-d475-4def-9f66-4014e3b44ae8","True","BiomedicalConceptProperty_138","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","6a9a3820-30fa-4502-adb1-79cafd0be124","True","BiomedicalConceptProperty_139","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","15e6dbaf-6f97-4db0-be9f-ee2fe4ff710e","True","BiomedicalConceptProperty_140","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","3583775f-d7a2-46bd-b146-c1ed8dacfd48","True","BiomedicalConceptProperty_141","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","56bceb63-9428-43c8-b117-e81fe68ec38c","True","BiomedicalConceptProperty_142","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","48da3171-5f64-48f2-91fe-e3c0ad25d526","True","BiomedicalConceptProperty_143","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","0ce610eb-5f9d-414a-ab4e-03709af8aa51","True","BiomedicalConceptProperty_144","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","fe32f014-0c34-4558-9bac-b14a4c275a94","True","BiomedicalConceptProperty_145","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","b5163f0b-6ee8-4701-9fa5-94149e8224ca","True","BiomedicalConceptProperty_146","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","10b42d88-c2c8-4670-8ba6-474ee2780312","True","BiomedicalConceptProperty_147","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","3b8b8214-61bf-443d-85e0-9b4c10768891","True","BiomedicalConceptProperty_148","","BiomedicalConceptProperty"
"LBFAST","LBFAST","True","94f128c8-f3f8-474a-b033-dad6dba8f7db","True","BiomedicalConceptProperty_149","","BiomedicalConceptProperty"
"LBTESTCD","LBTESTCD","True","68d50e2c-56d0-4b89-96be-ee8e1e0c3ebd","True","BiomedicalConceptProperty_150","","BiomedicalConceptProperty"
"LBORRES","LBORRES","True","f0ecd4d6-7004-46ec-a249-c5bfd3a25ce6","True","BiomedicalConceptProperty_151","float","BiomedicalConceptProperty"
"LBORRESU","LBORRESU","True","d7a13ae5-0c3f-4340-a3eb-d49c6141680d","True","BiomedicalConceptProperty_152","","BiomedicalConceptProperty"
"LBSPEC","LBSPEC","True","602df1e5-da39-47cb-a565-b7a836e2d945","True","BiomedicalConceptProperty_153","","BiomedicalConceptProperty"
