"label","name","uuid:ID","id","description","instanceType"
"IE Dictionary","IE_Dict","0474af30-e7dd-4d2c-b6d5-364bebfd99ad","SyntaxTemplateDictionary_1","Dictionary for IE","SyntaxTemplateDictionary"
"Assessment Dictionary","AS_Dict","53f0e1ed-7b9b-4271-9838-b3c2fa8d21eb","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","SyntaxTemplateDictionary"
