"instanceType","id","uuid:ID","code","codeSystem","codeSystemVersion","decode"
"Code","Code_1","9544b517-c98f-473a-839c-7b240e00cc3c","C98388","http://www.cdisc.org","2023-09-29","Interventional Study"
"Code","Code_2","69ecf6d7-b301-4dad-9180-a852e839cf3c","C15602","http://www.cdisc.org","2023-09-29","Phase III Trial"
"Code","Code_6","437a094c-c14c-49ea-bf05-5d58ee40111f","C132352","http://www.cdisc.org","2023-09-29","Sponsor Approval Date"
"Code","Code_7","75c69244-98de-4643-bb25-8dcc9d0ab13f","C68846","http://www.cdisc.org","2023-09-29","Global"
"Code","Code_81","773be75f-040a-42cd-9e7e-3dae4664e969","C99904x4","http://www.cdisc.org","2023-09-29","New Safety Information Available"
"Code","Code_82","ff780261-de5c-48be-85ad-0bebd162d63c","C99904x12","http://www.cdisc.org","2023-09-29","Inconsistency And/Or Error In The Protocol"
"Code","Code_83","e1763785-9795-42db-b086-985d2d93ee48","C68846","http://www.cdisc.org","2023-09-29","Global"
"Code","Code_84","cea672a3-b6f0-4d70-90df-25f891017b35","C70793","http://www.cdisc.org","2023-09-29","Clinical Study Sponsor"
"Code","Code_85","986ce7c8-d0e1-49e5-8bab-d9b7f50382ea","JPN","ISO 3166 1 alpha3","2020-08","Japan"
"Code","Code_86","04445bc4-06fa-455d-a361-ba0aaec2e43d","C93453","http://www.cdisc.org","2023-09-29","Study Registry"
"Code","Code_87","e6136ca8-723f-4643-af8c-5cefdd5d148a","USA","ISO 3166 1 alpha3","2020-08","United States of America"
"Code","Code_127","5d8324b4-4eab-4d1e-9844-6c0236ae0662","C15714","http://www.cdisc.org","2023-09-29","Basic Research"
"Code","Code_128","19e8d277-2ee6-45c0-80d8-d1926a33b2a1","C139174","http://www.cdisc.org","2023-09-29","Device Feasibility Study"
"Code","Code_129","7c51c015-c6bb-4574-b5d0-021615a2eca1","C49666","http://www.cdisc.org","2023-09-29","Efficacy Study"
"Code","Code_130","f9bbe3eb-7f8b-408d-911d-258ebc6e9c32","C82639","http://www.cdisc.org","2023-09-29","Parallel Study"
"Code","Code_96","48f54995-525d-4905-89a2-3104647b509f","C25716","http://www.cdisc.org","2023-09-29","Visit"
"Code","Code_97","8c133386-8555-48c9-b431-4d003a84f520","C16281","http://www.cdisc.org","2023-09-29","Ambulatory Care Facility"
"Code","Code_98","d6ba5e1f-d844-4ccc-87b5-84872da3b32e","C175574","http://www.cdisc.org","2023-09-29","In Person"
"Code","Code_99","51526939-9497-4c6f-a632-8eb07c73b412","C25716","http://www.cdisc.org","2023-09-29","Visit"
"Code","Code_100","7f0a6cad-09d8-4ea7-993b-f03906cc7531","C51282","http://www.cdisc.org","2023-09-29","Clinic"
"Code","Code_101","d535ebe6-e63c-40c0-8cf4-7129d0f71c02","C175574","http://www.cdisc.org","2023-09-29","In Person"
"Code","Code_102","fe06ab36-333b-4691-9483-8f9c8ff5a1ae","C25716","http://www.cdisc.org","2023-09-29","Visit"
"Code","Code_103","1ab9e9dc-6763-44c6-b79a-a02eae35e5d3","C51282","http://www.cdisc.org","2023-09-29","Clinic"
"Code","Code_104","633aa2c8-04e6-4669-ab40-3e88fd35c652","C175574","http://www.cdisc.org","2023-09-29","In Person"
