"instanceType","id","maxValue","uuid:ID","minValue","isApproximate"
"Range","Range_2","75.0","3e6d5d27-b8c8-4b4c-a0bf-568e6c73e182","75.0","False"
"Range","Range_1","66.0","6074aa96-e558-42fa-bac9-6f8fd6395cbf","66.0","False"
"Range","Range_3","30.0","110ef7df-a276-47b9-ace6-2633f90180b8","30.0","False"
"Range","Range_4","64.0","3540421b-11dc-45f6-a0ba-beeea9a3a24d","18.0","False"
"Range","Range_5","30.0","a4b9ede4-8518-49d4-b83f-2526fd597301","30.0","False"
"Range","Range_6","70.0","ecfdc3e5-ca5d-4103-98ce-d1dc74a3870b","20.0","False"
