"instanceType","id","dataOriginDescription","description","label","uuid:ID","name"
"StudyArm","StudyArm_1","Data collected from subjects","LY900018-IMG","","ccf9588d-b6f9-4cc2-af7e-b7860b098604","LY-G"
"StudyArm","StudyArm_2","Data collected from subjects","IMG-LY900018","","367d2b20-3f57-43eb-9fee-2dcdd9a913f6","G-LY"
