"studyIdentifier","id","uuid:ID","instanceType"
"I8R-JE-IGBJ","StudyIdentifier_1","38d135e0-42dd-4cbb-a1d8-d0db27dd0aca","StudyIdentifier"
"NCT03421379","StudyIdentifier_2","824dea41-199d-4e28-b27b-1df57ef81e47","StudyIdentifier"
