"id","maxValue","uuid:ID","minValue","instanceType","isApproximate"
"Range_2","300.0","a9f8aff0-446b-4b98-89e6-fca46128266a","300.0","Range","False"
"Range_1","300.0","bb7b66ff-84d7-4dcc-90d1-e4ce57e45b58","300.0","Range","False"
"Range_3","100.0","86a6ae4a-53cd-4bd5-9006-8bffe39acfd9","50.0","Range","False"
