"otherReason","id","instanceType","uuid:ID"
"","StudyAmendmentReason_1","StudyAmendmentReason","2202460a-15af-46f7-8705-62d430e675d9"
"Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason","768159f7-0c22-4c5f-a070-0331407ff034"
