"instanceType","uuid:ID","otherReason","id"
"StudyAmendmentReason","f4abb6ce-5004-4cf3-b01d-ac347af2beb0","","StudyAmendmentReason_1"
"StudyAmendmentReason","5e90c9dc-3193-4de2-874e-76313a4c5a8d","Fix typographical errors","StudyAmendmentReason_2"
