"name","description","uuid:ID","id","instanceType","label"
"IE_Dict","Dictionary for IE","b51ae84b-9c73-4701-8f6d-edef6f869d38","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","IE Dictionary"
"AS_Dict","Dictionary for Study Assessments","5bf29364-3ce0-4afb-af1a-fb9fffcd1d53","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","Assessment Dictionary"
