"maxValue","minValue","id","instanceType","uuid:ID","isApproximate"
"300.0","300.0","Range_2","Range","c5c478e6-ea4d-4912-8285-6dfa4a7a85d1","False"
"300.0","300.0","Range_1","Range","0745e674-64d0-4f8e-93d1-25b16c5da1c7","False"
"100.0","50.0","Range_3","Range","2d4258c3-6752-4d10-bc7a-426a5899abd0","False"
