"uuid:ID","label","instanceType","description","name","id"
"3761696a-3aa9-4379-9b0f-450896b871a8","IE Dictionary","SyntaxTemplateDictionary","Dictionary for IE","IE_Dict","SyntaxTemplateDictionary_1"
"a7c7aa45-ad18-450b-9c47-f6b7ba1538de","Assessment Dictionary","SyntaxTemplateDictionary","Dictionary for Study Assessments","AS_Dict","SyntaxTemplateDictionary_2"
