"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","7a4c0136-cd8b-4d0e-ab10-e88f34e6dd77","StudyAmendmentReason_1",""
"StudyAmendmentReason","9d5cd347-c730-4f2c-b29a-89cc4fecada9","StudyAmendmentReason_2","Fix typographical errors"
